Sum,,29,17403,29112,4612,1362,2231,130,45374,15652
,Title,board,c-suite,director,head,consultant,business,student,technical,others
92,Software Development,0,0,0,0,0,0,0,1,0
93,Lead Consultant / Enterprise Architect,0,0,0,1,1,0,0,1,0
94,"Director, Infrastructure Engineering",0,0,1,0,0,0,0,1,0
95,NA,0,0,0,0,0,0,0,0,1
96,"Delivery Manager, Business Systems",0,0,1,0,0,0,0,1,0
97,Manager of Saas Program,0,0,1,0,0,0,0,0,0
98,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
99,Application Manager,0,0,1,0,0,0,0,1,0
100,"Senior Director, IT PMO",0,0,1,0,0,0,0,1,0
101,Software Engineer,0,0,0,0,0,0,0,1,0
102,"Manager, Information Technology",0,0,1,0,0,0,0,1,0
103,"Director, Enterprise Business Architecture",0,0,1,0,0,0,0,1,0
104,Software Developer,0,0,0,0,0,0,0,1,0
105,"Enterprise Architect, Business Transformation Architect",0,0,0,0,0,0,0,1,0
106,chief and Chief Technology Officer,0,1,0,0,0,0,0,1,0
107,Software Engineer,0,0,0,0,0,0,0,1,0
108,"Planning Manager, Technical and Competitive Information Technology",0,0,1,0,0,0,0,1,0
109,Assistant MIS Director,0,0,1,0,0,0,0,0,0
110,Software Developer,0,0,0,0,0,0,0,1,0
111,chief of Marketing,0,1,0,0,0,1,0,0,0
112,NA,0,0,0,0,0,0,0,0,1
113,CEO,0,1,0,0,0,0,0,0,0
114,"Team Lead and Architect, SharePoint",0,0,0,1,0,0,0,1,0
115,Senior Architect,0,0,0,0,0,0,0,1,0
116,Software Development,0,0,0,0,0,0,0,1,0
117,Strategic Alliances,0,0,0,0,0,0,0,0,1
118,Systems Analyst,0,0,0,0,0,0,0,1,0
119,chief Global Cloud Computing & Emerging Products,0,1,0,0,0,0,0,1,0
120,"Manager, Learning",0,0,1,0,0,0,0,0,0
121,NA,0,0,0,0,0,0,0,0,1
122,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
123,President,0,1,0,0,0,0,0,0,0
124,"chief, Workflow Core Utilities",0,1,0,0,0,0,0,1,0
125,Marketing Specialist 2,0,0,0,0,0,1,0,0,0
126,"Global Manager, Retail IT, Engineering and Environmental Services",0,0,1,0,0,0,0,1,0
127,NA,0,0,0,0,0,0,0,0,1
128,Director of Software Development,0,0,1,0,0,0,0,1,0
129,Director of Consulting Services,0,0,1,0,1,0,0,0,0
130,NA,0,0,0,0,0,0,0,0,1
131,Software Consultant,0,0,0,0,1,0,0,1,0
132,"Director, Information Security",0,0,1,0,0,0,0,1,0
133,CTO,0,1,0,0,0,0,0,0,0
134,Infrastructure Solutions Architect,0,0,0,0,0,0,0,1,0
135,Partner Management Director,0,0,1,0,0,0,0,0,0
136,"Executive Director, Application Deployment Services",0,0,1,0,0,0,0,1,0
137,QHSE Manager,0,0,1,0,0,0,0,0,0
138,chief and Chief Information Officer (CIO),0,1,0,0,0,0,0,1,0
139,chief of Infrastructure,0,1,0,0,0,0,0,0,0
140,Other: Non-Manager,0,0,1,0,0,0,0,0,0
141,Ceo,0,0,0,0,0,0,0,0,1
142,NA,0,0,0,0,0,0,0,0,1
143,"Technical Manager, Architect",0,0,1,0,0,0,0,1,0
144,"Senior Systems Administrator, Virtualization",0,0,0,0,0,0,0,1,0
145,Sr Architect,0,0,0,0,0,0,0,1,0
146,IT Management: chief,0,1,1,0,0,0,0,1,0
147,Director of Sales,0,0,1,0,0,1,0,0,0
148,NA,0,0,0,0,0,0,0,0,1
149,Development Manager,0,0,1,0,0,0,0,0,0
150,"Program and Project Manager, IT",0,0,1,0,0,0,0,1,0
151,NA,0,0,0,0,0,0,0,0,1
152,IT Management: Manager,0,0,1,0,0,0,0,1,0
153,Partner Manager,0,0,1,0,0,0,0,0,0
154,"Global IT Director, Head of Network Services",0,0,1,1,0,0,0,1,0
155,Director of Sales- GET and Software Sales,0,0,1,0,0,1,0,1,0
156,"Manager, Cycle",0,0,1,0,0,0,0,0,0
157,CIO,0,1,0,0,0,0,0,0,0
158,Software Development Manager,0,0,1,0,0,0,0,1,0
159,Business Development Director,0,0,1,0,0,0,0,0,0
160,CIO,0,1,0,0,0,0,0,0,0
161,Director of Technology,0,0,1,0,0,0,0,1,0
162,Senior Information Security Architect,0,0,0,0,0,0,0,1,0
163,Chief Architect,0,1,0,0,0,0,0,1,0
164,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
165,Enterprise Security Architect,0,0,0,0,0,0,0,1,0
166,Solution Architect,0,0,0,0,0,0,0,1,0
167,CTO,0,1,0,0,0,0,0,0,0
168,"Director, IT",0,0,1,0,0,0,0,1,0
169,Enterprise Architect,0,0,0,0,0,0,0,1,0
170,Software Developer,0,0,0,0,0,0,0,1,0
171,"Director, IT Quality Assurance and Testing",0,0,1,0,0,0,0,1,0
172,"Director, Infrastructure Global Service Delivery, GIT",0,0,1,0,0,0,0,1,0
173,chief Architecture and Platforms,0,1,0,0,0,0,0,1,0
174,"Manager, Windows Server Support",0,0,1,0,0,0,0,0,0
175,Enterprise Architect,0,0,0,0,0,0,0,1,0
176,Senior Software Developer,0,0,0,0,0,0,0,1,0
177,IT Management: Technical Consultant,0,0,1,0,1,0,0,1,0
178,"Associate Director,  Information Technology",0,0,1,0,0,0,0,1,0
179,Senior chief and Chief Information Officer (CIO),0,1,0,0,0,0,0,1,0
180,"Director, Technology Management Services",0,0,1,0,0,0,0,1,0
181,IT Security Consultant,0,0,0,0,1,0,0,1,0
182,Director Global Software Development,0,0,1,0,0,0,0,1,0
183,Co-CEO,0,1,0,0,0,0,0,0,0
184,Enterprise Infrastructure Architect,0,0,0,0,0,0,0,1,0
185,NA,0,0,0,0,0,0,0,0,1
186,"Project Manager, IT",0,0,1,0,0,0,0,1,0
187,Principal Software Engineer,0,0,0,0,0,0,0,1,0
188,Senior Software Developer,0,0,0,0,0,0,0,1,0
189,IT Director,0,0,1,0,0,0,0,1,0
190,"Director, Enterprise Applications, Systems and Operations",0,0,1,0,0,0,0,1,0
191,Technical Manager,0,0,1,0,0,0,0,1,0
192,"Director, Telecommunications",0,0,1,0,0,0,0,0,0
193,Technology Manager,0,0,1,0,0,0,0,1,0
194,Senior Software Developer,0,0,0,0,0,0,0,1,0
195,Manager/Consultant,0,0,1,0,1,0,0,0,0
196,Senior GSC Engineer - DCS/UCS,0,0,0,0,0,0,0,1,0
197,student,0,0,0,0,0,0,1,0,0
198,Information Technology Lead,0,0,0,1,0,0,0,1,0
199,"Director, Head of Enterprise Applications Support, Operations and Platform",0,0,1,1,0,0,0,1,0
200,Associate Director Software Development,0,0,1,0,0,0,0,1,0
201,Director,0,0,1,0,0,0,0,0,0
202,NA,0,0,0,0,0,0,0,0,1
203,Senior Systems Engineer,0,0,0,0,0,0,0,1,0
204,IT Security Analyst,0,0,0,0,0,0,0,1,0
205,Consultant,0,0,0,0,1,0,0,0,0
206,Software Developer Consultant,0,0,0,0,1,0,0,1,0
207,Senior Consultant,0,0,0,0,1,0,0,0,0
208,"Director, Application Support",0,0,1,0,0,0,0,1,0
209,NA,0,0,0,0,0,0,0,0,1
210,"Project Coordinator, IT",0,0,0,0,0,0,0,1,0
211,Chief Architect,0,1,0,0,0,0,0,1,0
212,Manager Software Development-order Management Systems,0,0,1,0,0,0,0,1,0
213,Software Development Engineer,0,0,0,0,0,0,0,1,0
214,Software Consultant,0,0,0,0,1,0,0,1,0
215,Information Technology Director,0,0,1,0,0,0,0,1,0
216,"Senior Manager, Infrastructure Services",0,0,1,0,0,0,0,0,0
217,Sr. Software Engineer,0,0,0,0,0,0,0,1,0
218,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
219,Social Media Strategist,0,0,0,0,0,0,0,0,1
220,"chief, Application Development",0,1,0,0,0,0,0,1,0
221,SR System Engineer,0,0,0,0,0,0,0,1,0
222,"Senior Manager, Infrastructure",0,0,1,0,0,0,0,0,0
223,Sr. Software Engineer,0,0,0,0,0,0,0,1,0
224,Clinical Software Developer,0,0,0,0,0,0,0,1,0
225,NA,0,0,0,0,0,0,0,0,1
226,Developer,0,0,0,0,0,0,0,1,0
227,"Senior Director, Application Architecture and Design",0,0,1,0,0,0,0,1,0
228,VMware & Windows Systems Engineer,0,0,0,0,0,0,0,1,0
229,Enterprise Architect,0,0,0,0,0,0,0,1,0
230,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
231,Senior Consultant,0,0,0,0,1,0,0,0,0
232,consultant,0,0,0,0,1,0,0,0,0
233,NA,0,0,0,0,0,0,0,0,1
234,"Manager, Database Applications (Command Launch Equipment)",0,0,1,0,0,0,0,1,0
235,"Director, Architecture & Enterprise Systems",0,0,1,0,0,0,0,1,0
236,Information Technology Director,0,0,1,0,0,0,0,1,0
237,Information Technology Director,0,0,1,0,0,0,0,1,0
238,NA,0,0,0,0,0,0,0,0,1
239,IT Manager,0,0,1,0,0,0,0,1,0
240,"Director, Information Technology",0,0,1,0,0,0,0,1,0
241,Software Architect,0,0,0,0,0,0,0,1,0
242,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
243,Software consultant,0,0,0,0,1,0,0,1,0
244,NA,0,0,0,0,0,0,0,0,1
245,NA,0,0,0,0,0,0,0,0,1
246,"Director, Procurement",0,0,1,0,0,0,0,0,0
247,NA,0,0,0,0,0,0,0,0,1
248,chief Software Development,0,1,0,0,0,0,0,1,0
249,"Manager, Application Development",0,0,1,0,0,0,0,1,0
250,NA,0,0,0,0,0,0,0,0,1
251,Process Services Manager,0,0,1,0,0,0,0,0,0
252,"Manager, Data Center",0,0,1,0,0,0,0,1,0
253,Researcher,0,0,0,0,0,0,0,1,0
254,Senior Software Developer,0,0,0,0,0,0,0,1,0
255,Database Admministrator,0,0,0,0,0,0,0,1,0
256,Director - Communications and Collaboration Services Engineering,0,0,1,0,0,0,0,1,0
257,NA,0,0,0,0,0,0,0,0,1
258,"Manager, Enterprise Infrastructure",0,0,1,0,0,0,0,0,0
259,CIO,0,1,0,0,0,0,0,0,0
260,Information Officer-system Design and Software Development,0,0,0,0,0,0,0,1,0
261,NA,0,0,0,0,0,0,0,0,1
262,NA,0,0,0,0,0,0,0,0,1
263,"Director, Application Development",0,0,1,0,0,0,0,1,0
264,"Director, Techology & Engineering",0,0,1,0,0,0,0,1,0
265,Senior Software Engineer,0,0,0,0,0,0,0,1,0
266,Software Developer,0,0,0,0,0,0,0,1,0
267,"Enterprise Architect, Global Solutions Architecture",0,0,0,0,0,0,0,1,0
268,Manager- IT Services,0,0,1,0,0,0,0,1,0
269,"Manager, Software Development",0,0,1,0,0,0,0,1,0
270,"Director, Application Development",0,0,1,0,0,0,0,1,0
271,"Executive Director, IT Automation Engineering",0,0,1,0,0,0,0,1,0
272,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
273,"Senior Director, Systems Application Development",0,0,1,0,0,0,0,1,0
274,"Senior Director, Information Technology",0,0,1,0,0,0,0,1,0
275,chief Information Technology,0,1,0,0,0,0,0,1,0
276,"chief, eCommerce",0,1,0,0,0,0,0,0,0
277,"Director, Global IT Applications",0,0,1,0,0,0,0,1,0
278,Software Developer,0,0,0,0,0,0,0,1,0
279,"President, Knowledge Management Consultant",0,1,1,0,1,0,0,0,0
280,Distinguished Technologist / Strategist,0,0,0,0,0,0,0,1,0
281,Information Technology Manager,0,0,1,0,0,0,0,1,0
282,"Director, eCommerce",0,0,1,0,0,0,0,0,0
283,"Department Manager, Software Development",0,0,1,0,0,0,0,1,0
284,Manager Information Technology Software Development,0,0,1,0,0,0,0,1,0
285,CEO,0,1,0,0,0,0,0,0,0
286,NA,0,0,0,0,0,0,0,0,1
287,Sr. Infrastructure Solution Architect/Engineer,0,0,0,0,0,0,0,1,0
288,Chief Development Officer,0,1,0,0,0,0,0,0,0
289,Director of Applications for US Army Reserve,0,0,1,0,0,0,0,1,0
290,Application Software Developer,0,0,0,0,0,0,0,1,0
291,NA,0,0,0,0,0,0,0,0,1
292,director,0,0,1,0,0,0,0,0,0
293,Chief Information Officer,0,1,0,0,0,0,0,1,0
294,"Senior Manager, IT Deployment, Freestyle",0,0,1,0,0,0,0,1,0
295,Chief Information Officer,0,1,0,0,0,0,0,1,0
296,Software Engineer/Developer,0,0,0,0,0,0,0,1,0
297,NA,0,0,0,0,0,0,0,0,1
298,NA,0,0,0,0,0,0,0,0,1
299,Marketing Communication Specialist,0,0,0,0,0,1,0,0,0
300,"Manager, IS Security Strategy",0,0,1,0,0,0,0,1,0
301,"chief, Data Center & Enterprise Operations",0,1,0,0,0,0,0,1,0
302,Senior Software Developer and Analyst,0,0,0,0,0,0,0,1,0
303,student,0,0,0,0,0,0,1,0,0
304,"Senior Director, Information Technology",0,0,1,0,0,0,0,1,0
305,COO,0,1,0,0,0,0,0,0,0
306,"Manager, Consumer Trend Insights",0,0,1,0,0,0,0,0,0
307,"Director, Enterprise Computing Technology",0,0,1,0,0,0,0,1,0
308,Software Developer Engineer,0,0,0,0,0,0,0,1,0
309,Business Development Manager,0,0,1,0,0,0,0,0,0
310,NA,0,0,0,0,0,0,0,0,1
311,"Director, IT Applications Development",0,0,1,0,0,0,0,1,0
312,Schief Human Resources,0,1,0,0,0,0,0,0,0
313,NA,0,0,0,0,0,0,0,0,1
314,"Director, Information Technology",0,0,1,0,0,0,0,1,0
315,Partner Program Manager,0,0,1,0,0,0,0,0,0
316,Secure Government Cloud - Programme Director,0,0,1,0,0,0,0,1,0
317,Senior Enterprise Architect,0,0,0,0,0,0,0,1,0
318,chief Professional Services,0,1,0,0,0,0,0,0,0
319,NA,0,0,0,0,0,0,0,0,1
320,Senior Software Developer,0,0,0,0,0,0,0,1,0
321,President,0,1,0,0,0,0,0,0,0
322,NA,0,0,0,0,0,0,0,0,1
323,"Manager, Enterprise Application Solutions",0,0,1,0,0,0,0,1,0
324,Schief Technology,0,1,0,0,0,0,0,1,0
325,Independent Information Technology and Services Professional,0,0,0,0,0,0,0,1,0
326,Software Developer,0,0,0,0,0,0,0,1,0
327,Ceo,0,0,0,0,0,0,0,0,1
328,NA,0,0,0,0,0,0,0,0,1
329,NA,0,0,0,0,0,0,0,0,1
330,CIO,0,1,0,0,0,0,0,0,0
331,"Senior Manager, Application Development",0,0,1,0,0,0,0,1,0
332,Senior Manager Software Engineering and Development,0,0,1,0,0,0,0,1,0
333,CEO,0,1,0,0,0,0,0,0,0
334,Consultant,0,0,0,0,1,0,0,0,0
335,NA,0,0,0,0,0,0,0,0,1
336,chief,0,1,0,0,0,0,0,0,0
337,Head of US Research Computing Platforms,0,0,0,1,0,0,0,1,0
338,Software Development and Project Manager,0,0,1,0,0,0,0,1,0
339,chief of Marketing,0,1,0,0,0,1,0,0,0
340,Service Delivery Lead,0,0,0,1,0,0,0,0,0
341,"Manager, IT Applications, Refining & Purchasing",0,0,1,0,0,0,0,1,0
342,Marketing Manager,0,0,1,0,0,1,0,0,0
343,Enterprise Architecture - Database Technologies,0,0,0,0,0,0,0,1,0
344,Senior Software Developer,0,0,0,0,0,0,0,1,0
345,Solutions Manager,0,0,1,0,0,0,0,1,0
346,Chief Information Officer,0,1,0,0,0,0,0,1,0
347,Project Manager,0,0,1,0,0,0,0,0,0
348,Consulting Partner,0,0,0,0,1,0,0,0,0
349,COO,0,1,0,0,0,0,0,0,0
350,Software Developer,0,0,0,0,0,0,0,1,0
351,chief Sales & Marketing,0,1,0,0,0,1,0,0,0
