Campaign ID,Parent Campaign ID,Member Type,Member Status,Lead ID,Member First Associated Date,Member Status Update Date,Member First Responded Date,Responded,Title,Company,Account Owner,Street Line 3,Country,State/Province,Campaign Name
70130000000trmy,,Lead,Sent,00Q3000001GkBwx,2/8/16,2/8/16,,0,"Vice President, Global eCommerce and Marketing",Williams-Sonoma,,,United States,California,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkBx1,2/8/16,2/8/16,,0,"Supervisor, IT Business Applications",AFLAC Incorporated,,,United States,Georgia,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkBxO,2/8/16,2/8/16,,0,"Executive Director, Application Architecture",USAA,,,USA,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkBxg,2/8/16,2/8/16,,0,"Vice President, IT Corporate Payment Systems",[[Unknown]],,,USA,CO,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkBxn,2/8/16,2/8/16,,0,Enterprise Monitoring Systems Analyst,BB&T,,,USA,NC,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkBy0,2/8/16,2/8/16,,0,"Vice President, Information Services",Delta Dental,,,United States,TN,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkByp,2/8/16,2/8/16,,0,"Manager, Imagining Systems Data",Intermountain Healthcare,,,United States,Utah,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkBz8,2/8/16,2/8/16,,0,"Manager, Business Intelligence",Houston Methodist,,,United States,Texas,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkBzg,2/8/16,2/8/16,,0,"Lead, Network Engineer","Bloomin' Brands, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC0X,2/8/16,2/8/16,,0,"Managing Director, IT",FedEx Corporation,,,United States,TN,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC1o,2/8/16,2/8/16,,0,Chief Information Officer (CIO),Electrolux USA,,,United States,North Carolina,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC1v,2/8/16,2/8/16,,0,"Manager, Information Technology",EnCana Corporation,,,Canada,Alberta( AB ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC2I,2/8/16,2/8/16,,0,"Manager, Information Management and Reporting",Suncor Energy Inc.,,,Canada,Alberta,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC2J,2/8/16,2/8/16,,0,"Manager, Infrastructure Design and Build",Suncor Energy Inc.,,,Canada,Alberta( AB ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC2l,2/8/16,2/8/16,,0,"Director, Enterprise Architecture","Shaw Communications, Inc.",,,Canada,Alberta( AB ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC2u,2/8/16,2/8/16,,0,Senior IT Solutions Architect,Talisman Energy Inc.,,,Canada,Alberta( AB ),Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC31,2/8/16,2/8/16,,0,"Senior Vice President, Operations Services",Service Corporation International,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC36,2/8/16,2/8/16,,0,"Vice President, Enterprise Risk Management and Compliance",SYSCO Corporation,,,United States,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC37,2/8/16,2/8/16,,0,"Vice President, Business Solutions",SYSCO Corporation,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC3C,2/8/16,2/8/16,,0,"Vice President, Information Systems, Hardware and Software Systems Engineering (HSSE)",Total Fina Elf Holdings USA Inc,,,,TX,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC3R,2/8/16,2/8/16,,0,"Managing Director, Information Technology",Raymond James,,,United States,FL,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC3r,2/8/16,2/8/16,,0,"Director, EDM Operations","TeamHealth, Inc.",,,United States,TN,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC45,2/8/16,2/8/16,,0,"Vice President, Information Technology and Chief Technology Officer (CTO)",Centura Health,,,United States,Colorado,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC4A,2/8/16,2/8/16,,0,"Manager, IT Networks",DaVita Inc.,,,United States,Colorado,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC4X,2/8/16,2/8/16,,0,"Manager, Human Resources Information Systems (HRIS)",SCL Health System,,,United States,Colorado,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC5b,2/8/16,2/8/16,,0,"IT Program Manager , Corporate Global Finance","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC5n,2/8/16,2/8/16,,0,"Manager, IT Operations and Implementations","Jabil Circuit, Inc.",,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC66,2/8/16,2/8/16,,0,Chief Financial Officer,Raymond James Financial,,,United States,Florida,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC6M,2/8/16,2/8/16,,0,"Director, IT Finance and Management",Canadian Pacific Railway Limited,,,Canada,Alberta,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC6x,2/8/16,2/8/16,,0,"Director, Head of Technology Delivery Studio",Deloitte Touche Tohmatsu,,,United States,TN,Modernize Existing Applications with Private PaaS
70130000000trmy,,Lead,Sent,00Q3000001GkC79,2/8/16,2/8/16,,0,"Corporate Vice President, Information Systems",New York Life Insurance Company,,,United States,FL,Modernize Existing Applications with Private PaaS
