Opportunity ID,Account ID,Stage,Billing Country,Billing State/Province,Type,Lead Source,Close Date,Probability (%),Fiscal Period,Age,Created Date
0063000000lA5FZ,0013000000jI91C,Closed Lost,,,Quick Start License,,6/30/2010,0,Q2-2010,118,3/4/2010
0063000000lA5Fw,0013000000jI91D,Closed Lost,United States,NJ,License,Small Event,12/25/2020,0,Q4-2020,3531,4/26/2011
0063000000lA5GY,0013000000jI91E,Closed Lost,,,Quick Start License,Partner,9/30/2010,0,Q3-2010,328,11/6/2009
0063000000lA5Gd,0013000000jI91G,Closed Lost,,,Quick Start License,Dev Portal,9/30/2010,0,Q3-2010,263,1/10/2010
00630000010P22t,0013000000jI91J,Closed Lost,United States,CA,License & Service,Google Adwords,8/20/2015,0,Q3-2015,106,5/6/2015
0063000000ll19N,0013000000jI91J,Closed Lost,United States,CA,License,,5/27/2011,0,Q2-2011,10,5/17/2011
0063000000lA5FD,0013000000jI91J,Closed Won,United States,CA,License,Google Natural Search,10/21/2011,100,Q4-2011,236,2/27/2011
0063000000ut80b,0013000000jI91J,Closed Won,United States,CA,License,Existing Account,12/18/2012,100,Q4-2012,109,8/31/2012
0063000000lA5G5,0013000000jI91K,Closed Lost,United States,IL,License,Web Site,12/31/2010,0,Q4-2010,221,5/24/2010
0063000000lA5FG,0013000000jI91S,Closed Lost,,,Production License,Web Site,6/30/2010,0,Q2-2010,132,2/18/2010
0063000000lA5FH,0013000000jI91T,Closed Lost,,,Quick Start License,Web Site,12/31/2010,0,Q4-2010,420,11/6/2009
0063000000lA5GV,0013000000jI91U,Closed Lost,,UT,License,Web Site,9/30/2010,0,Q3-2010,92,6/30/2010
0063000000lA5FM,0013000000jI91V,Closed Lost,India,,,Web Site,6/30/2010,0,Q2-2010,146,2/4/2010
0063000000lA5GU,0013000000jI91Y,Closed Lost,United Kingdom,,,Web Site,12/31/2011,0,Q4-2011,605,5/5/2010
0063000000mGqtg,0013000000jI91b,Closed Lost,United States,CA,License,linkedinad,12/25/2020,0,Q4-2020,3445,7/21/2011
0063000000lA5F9,0013000000jI91b,Closed Won,United States,CA,License,,8/16/2011,100,Q3-2011,449,5/24/2010
0063000000lA5FK,0013000000jI91c,Closed Lost,,,Launch License,,3/31/2011,0,Q1-2011,420,2/4/2010
0063000000lA5E4,0013000000jI91f,Closed Won,,,Other,,9/7/2009,100,Q3-2009,0,9/8/2009
0063000000lA5GQ,0013000000jI91h,Closed Lost,,,,,9/30/2010,0,Q3-2010,148,5/5/2010
0063000000lA5Fk,0013000000jI91k,Closed Lost,,,Quick Start License,,6/30/2010,0,Q2-2010,146,2/4/2010
0063000000lA5Fm,0013000000jI91m,Closed Lost,Romania,,License,Web Site,9/30/2010,0,Q3-2010,263,1/10/2010
0063000000lA5FI,0013000000jI91q,Closed Lost,United States,OH,,Web Site,6/30/2010,0,Q2-2010,125,2/25/2010
0063000000lA5Fz,0013000000jI91s,Closed Lost,,,Quick Start License,Web Site,6/30/2010,0,Q2-2010,146,2/4/2010
0063000000lA5G9,0013000000jI91t,Closed Lost,,,Quick Start License,Web Site,6/30/2010,0,Q2-2010,118,3/4/2010
0063000000lA5Gh,0013000000jI91x,Closed Lost,United States,CA,License,Web Site,7/31/2010,0,Q3-2010,163,2/18/2010
0063000000lA5GA,0013000000jI91z,Closed Lost,,,,Email,9/30/2010,0,Q3-2010,210,3/4/2010
00630000010MmgL,0013000000jI9Jp,Closed Lost,United States,CA,Service,Web,4/13/2015,0,Q2-2015,63,2/9/2015
0063000000lA5FR,0013000000jI9Jp,Closed Lost,United States,CA,License,,12/31/2009,0,Q4-2009,55,11/6/2009
0063000000lA5Gi,0013000000jI9Jp,Closed Lost,United States,CA,License,Web Site,6/30/2011,0,Q2-2011,813,4/8/2009
